grid_id,lng_wgs84,lat_wgs84,nearest_meteo_id,cnt_industrial,cnt_commercial,cnt_nature,cnt_transport,cnt_catering
G00000,113.73279557642059,36.575048181936026,54619,0,5,1,0,0
G00001,113.7327955764206,36.58226200880485,54619,0,5,1,0,0
G00002,113.73279557642059,36.5966876403949,54619,3,1,0,0,0
G00003,113.73279557642059,36.611110575446205,54619,1,0,0,0,0
G00004,113.73279557642057,36.618321031641756,54619,0,0,0,0,0
G00005,113.74177872926177,36.575048181936026,54619,0,6,1,0,0
G00006,113.74177872926177,36.58226200880485,54619,1,6,1,0,0
G00007,113.74177872926177,36.58947516164159,54619,3,5,0,0,0
G00008,113.74177872926177,36.596687640394904,54619,3,1,0,0,0
G00009,113.74177872926178,36.60389944501352,54619,3,0,0,0,0
G00010,113.74177872926177,36.6111105754462,54619,2,0,0,0,0
G00011,113.75076188210298,36.575048181936026,54619,0,6,1,0,0
G00012,113.75076188210298,36.58226200880485,54619,1,6,1,0,0
G00013,113.75076188210299,36.589475161641595,54619,3,5,0,0,0
G00014,113.75076188210299,36.5966876403949,54619,3,0,0,0,0
G00015,113.75076188210298,36.603899445013525,54619,3,0,0,0,0
G00016,113.75076188210296,36.611110575446205,54619,1,0,0,0,0
G00017,113.75076188210299,36.618321031641756,54619,0,0,0,0,0
G00018,113.75076188210299,36.625530813549034,54619,0,0,0,0,0
G00019,113.75076188210298,36.632739921116936,54619,0,0,0,0,0
G00020,113.75076188210298,36.639948354294425,54619,0,0,0,0,0
G00021,113.75076188210298,36.6471561130305,54619,0,0,0,0,0
G00022,113.75974503494417,36.575048181936026,54619,0,2,1,0,0
G00023,113.75974503494419,36.58226200880485,54619,0,3,1,0,0
G00024,113.75974503494417,36.589475161641595,54619,1,1,0,0,0
G00025,113.75974503494419,36.5966876403949,54619,3,0,0,0,0
G00026,113.75974503494417,36.603899445013525,54619,2,0,0,0,0
G00027,113.75974503494417,36.611110575446205,54619,1,0,0,0,0
G00028,113.75974503494419,36.618321031641756,54619,0,0,0,0,0
G00029,113.75974503494417,36.625530813549034,54619,0,0,0,0,0
G00030,113.75974503494417,36.632739921116936,54619,0,0,0,0,0
G00031,113.75974503494416,36.639948354294425,54619,0,0,0,0,0
G00032,113.75974503494417,36.6471561130305,54619,0,0,0,0,0
G00033,113.76872818778537,36.6111105754462,54619,0,0,0,0,0
G00034,113.76872818778538,36.618321031641756,54619,0,0,0,0,0
G00035,113.76872818778537,36.625530813549034,54619,0,0,0,0,0
G00036,113.76872818778537,36.632739921116936,54619,0,0,0,0,0
G00037,113.76872818778536,36.639948354294425,54619,0,0,0,0,0
G00038,113.76872818778537,36.647156113030505,54619,0,0,0,0,0
G00039,113.77771134062658,36.618321031641756,54619,0,0,0,0,0
G00040,113.77771134062655,36.625530813549034,54619,0,0,0,0,0
G00041,113.77771134062657,36.632739921116936,54619,0,0,0,0,0
G00042,113.77771134062657,36.639948354294425,54619,0,0,0,0,0
G00043,113.78669449346776,36.632739921116936,54619,0,0,0,0,0
G00044,116.70621916685621,38.89776854418826,54619,3,1,2,3,1
G00045,116.70621916685621,38.90475949686454,54619,7,5,2,5,6
G00046,116.70621916685623,38.911749761205684,54619,11,6,2,6,10
G00047,116.70621916685623,38.91873933717544,54619,15,11,2,6,10
G00048,116.70621916685623,38.925728224737576,54619,12,10,0,4,9
G00049,116.70621916685621,38.93271642385592,54619,0,0,0,0,0
G00050,116.70621916685621,38.93970393449436,54619,0,0,0,0,0
G00051,116.7152023196974,38.84881260512622,54619,0,0,0,3,0
G00052,116.71520231969741,38.85580837512927,54619,2,2,0,5,0
G00053,116.71520231969741,38.862803457052294,54619,1,2,0,5,0
G00054,116.7152023196974,38.869797850858696,54619,0,0,0,1,0
G00055,116.71520231969741,38.87679155651196,54619,0,0,0,3,0
G00056,116.71520231969741,38.883784573975596,54619,0,0,0,2,0
G00057,116.71520231969741,38.890776903213165,54619,0,0,0,0,0
G00058,116.71520231969741,38.89776854418826,54619,1,0,2,0,0
G00059,116.71520231969741,38.90475949686454,54619,7,6,2,5,8
G00060,116.7152023196974,38.911749761205684,54619,15,11,2,6,10
G00061,116.7152023196974,38.91873933717544,54619,19,15,2,9,12
G00062,116.7152023196974,38.925728224737576,54619,31,16,0,6,11
G00063,116.71520231969741,38.93271642385592,54619,40,17,0,5,5
G00064,116.71520231969741,38.93970393449436,54619,16,2,0,0,0
G00065,116.7152023196974,38.946690756616775,54619,0,0,0,0,0
G00066,116.7152023196974,38.953676890187154,54619,0,0,1,0,0
G00067,116.7152023196974,38.96066233516949,54619,0,0,1,0,0
G00068,116.7152023196974,38.96764709152783,54619,0,0,0,0,0
G00069,116.7241854725386,38.84881260512622,54619,2,2,0,6,0
G00070,116.72418547253861,38.85580837512927,54619,2,2,0,6,0
G00071,116.72418547253861,38.862803457052294,54619,2,2,0,7,0
G00072,116.72418547253862,38.869797850858696,54619,1,2,0,8,0
G00073,116.72418547253862,38.87679155651196,54619,1,0,0,6,0
G00074,116.72418547253861,38.883784573975596,54619,1,1,0,4,0
G00075,116.72418547253861,38.890776903213165,54619,0,2,0,4,0
G00076,116.72418547253858,38.89776854418826,54619,0,5,0,3,0
G00077,116.72418547253862,38.90475949686454,54619,3,3,2,2,0
G00078,116.7241854725386,38.911749761205684,54619,16,10,2,5,9
G00079,116.72418547253862,38.91873933717544,54619,27,15,0,7,11
G00080,116.72418547253862,38.925728224737576,54619,48,75,1,11,36
G00081,116.72418547253861,38.93271642385592,54619,44,105,1,12,42
G00082,116.72418547253862,38.93970393449436,54619,37,75,1,7,35
G00083,116.72418547253862,38.946690756616775,54619,14,6,0,0,0
G00084,116.72418547253861,38.953676890187154,54619,0,0,1,0,0
G00085,116.72418547253862,38.96066233516949,54619,0,0,1,0,0
G00086,116.72418547253861,38.96764709152783,54619,0,0,1,0,0
G00087,116.72418547253861,38.97463115922626,54619,0,0,0,0,0
G00088,116.7331686253798,38.77881706877263,54619,0,1,0,0,0
G00089,116.73316862537979,38.78581971755449,54619,0,1,0,0,0
G00090,116.7331686253798,38.79282167862454,54619,0,0,0,0,0
G00091,116.73316862537979,38.79982295194575,54619,0,0,0,0,0
G00092,116.73316862537979,38.80682353748114,54619,0,0,0,0,0
G00093,116.73316862537979,38.81382343519378,54619,0,1,0,0,0
G00094,116.73316862537979,38.83481900102656,54619,0,16,0,0,3
G00095,116.73316862537978,38.84181614707977,54619,1,0,0,2,0
G00096,116.73316862537978,38.84881260512622,54619,3,4,0,7,0
G00097,116.73316862537978,38.85580837512927,54619,2,3,0,7,0
G00098,116.7331686253798,38.862803457052294,54619,2,2,0,10,0
G00099,116.73316862537979,38.869797850858696,54619,2,2,0,11,0
G00100,116.73316862537979,38.87679155651196,54619,1,1,0,8,0
G00101,116.73316862537979,38.883784573975596,54619,1,1,0,9,0
G00102,116.73316862537979,38.890776903213165,54619,2,5,0,9,0
G00103,116.73316862537979,38.89776854418826,54619,1,5,0,4,0
G00104,116.73316862537979,38.90475949686454,54619,2,4,0,3,0
G00105,116.73316862537978,38.911749761205684,54619,2,0,0,3,0
G00106,116.73316862537978,38.91873933717544,54619,26,38,0,6,15
G00107,116.7331686253798,38.925728224737576,54619,52,198,2,18,79
G00108,116.73316862537979,38.93271642385592,54619,60,235,2,17,96
G00109,116.73316862537979,38.93970393449436,54619,58,187,2,14,75
G00110,116.73316862537979,38.946690756616775,54619,27,9,2,0,1
G00111,116.7331686253798,38.953676890187154,54619,3,0,1,0,0
G00112,116.7331686253798,38.96066233516949,54619,0,0,1,0,0
G00113,116.73316862537979,38.96764709152783,54619,0,0,1,0,0
G00114,116.7331686253798,38.97463115922626,54619,0,0,0,0,0
G00115,116.73316862537978,38.981614538228925,54619,0,0,0,0,0
G00116,116.74215177822099,38.750799597269065,54619,0,0,0,0,0
G00117,116.74215177822101,38.75780499652706,54619,3,3,1,1,0
G00118,116.742151778221,38.76480970822178,54619,3,3,1,1,0
G00119,116.74215177822101,38.771813732316026,54619,3,5,1,1,0
G00120,116.742151778221,38.77881706877263,54619,1,12,0,0,10
G00121,116.742151778221,38.78581971755449,54619,0,22,0,0,13
G00122,116.742151778221,38.79282167862454,54619,0,17,0,0,11
G00123,116.74215177822099,38.79982295194575,54619,0,6,0,0,1
G00124,116.74215177822099,38.80682353748114,54619,2,6,0,0,1
G00125,116.742151778221,38.81382343519378,54619,0,43,1,1,11
G00126,116.742151778221,38.82082264504679,54619,1,103,1,4,27
G00127,116.742151778221,38.827821167003314,54619,1,99,1,4,27
G00128,116.742151778221,38.83481900102656,54619,0,65,1,2,12
G00129,116.742151778221,38.84181614707977,54619,1,3,0,2,0
G00130,116.742151778221,38.84881260512622,54619,3,5,0,6,0
G00131,116.74215177822099,38.85580837512927,54619,3,7,0,8,0
G00132,116.742151778221,38.862803457052294,54619,2,6,0,10,0
G00133,116.74215177822099,38.869797850858696,54619,1,0,0,9,0
G00134,116.74215177822101,38.87679155651196,54619,1,1,0,9,0
G00135,116.74215177822101,38.883784573975596,54619,1,2,0,7,0
G00136,116.742151778221,38.890776903213165,54619,3,5,0,8,0
G00137,116.742151778221,38.89776854418826,54619,2,5,0,4,0
G00138,116.742151778221,38.90475949686454,54619,3,6,0,4,0
G00139,116.742151778221,38.911749761205684,54619,2,3,0,4,0
G00140,116.742151778221,38.91873933717544,54619,8,24,2,3,1
G00141,116.742151778221,38.925728224737576,54619,62,324,3,21,138
G00142,116.742151778221,38.93271642385592,54619,87,330,4,24,144
G00143,116.742151778221,38.93970393449436,54619,68,315,4,18,135
G00144,116.742151778221,38.946690756616775,54619,28,102,2,8,39
G00145,116.742151778221,38.953676890187154,54619,11,0,1,0,0
G00146,116.74215177822101,38.96066233516949,54619,1,0,1,0,0
G00147,116.742151778221,38.96764709152783,54619,0,0,1,0,0
G00148,116.742151778221,38.97463115922626,54619,0,0,0,0,0
G00149,116.74215177822099,38.981614538228925,54619,0,0,0,0,0
G00150,116.74215177822101,38.98859722850001,54619,0,0,0,0,0
G00151,116.74215177822101,38.99557923000373,54619,0,0,0,0,0
G00152,116.742151778221,39.00256054270436,54619,0,0,0,0,0
G00153,116.74215177822101,39.03047890476289,54619,0,0,0,0,0
G00154,116.742151778221,39.03745677291366,54619,0,0,0,0,0
G00155,116.75113493106218,38.750799597269065,54619,1,1,1,0,0
G00156,116.7511349310622,38.75780499652706,54619,3,4,2,2,0
G00157,116.75113493106218,38.76480970822178,54619,3,4,2,1,0
G00158,116.7511349310622,38.771813732316026,54619,3,6,1,1,0
G00159,116.75113493106217,38.77881706877263,54619,2,30,0,2,14
G00160,116.75113493106218,38.78581971755449,54619,0,27,0,0,14
G00161,116.75113493106217,38.79282167862454,54619,1,27,0,0,14
G00162,116.7511349310622,38.79982295194575,54619,4,24,0,0,12
G00163,116.75113493106218,38.80682353748114,54619,4,9,0,0,1
G00164,116.75113493106218,38.81382343519378,54619,8,173,1,6,48
G00165,116.75113493106218,38.82082264504679,54619,5,245,1,6,85
G00166,116.75113493106217,38.827821167003314,54619,4,225,1,6,78
G00167,116.75113493106218,38.83481900102656,54619,5,128,1,5,33
G00168,116.75113493106217,38.84181614707977,54619,14,11,0,2,0
G00169,116.7511349310622,38.84881260512622,54619,13,6,0,3,0
G00170,116.75113493106218,38.85580837512927,54619,4,6,0,3,0
G00171,116.75113493106217,38.862803457052294,54619,0,5,0,3,0
G00172,116.75113493106218,38.869797850858696,54619,1,1,0,4,0
G00173,116.7511349310622,38.87679155651196,54619,2,0,0,4,0
G00174,116.75113493106218,38.883784573975596,54619,3,0,0,6,0
G00175,116.75113493106217,38.890776903213165,54619,6,7,0,6,0
G00176,116.75113493106217,38.89776854418826,54619,8,14,1,8,1
G00177,116.7511349310622,38.90475949686454,54619,9,14,0,6,1
G00178,116.7511349310622,38.911749761205684,54619,10,10,1,2,1
G00179,116.75113493106217,38.91873933717544,54619,11,116,2,5,36
G00180,116.7511349310622,38.925728224737576,54619,55,325,5,24,141
G00181,116.75113493106218,38.93271642385592,54619,74,348,5,23,148
G00182,116.75113493106218,38.93970393449436,54619,69,329,4,21,136
G00183,116.75113493106218,38.946690756616775,54619,26,16,2,0,6
G00184,116.7511349310622,38.953676890187154,54619,9,0,0,0,0
G00185,116.75113493106217,38.96066233516949,54619,0,0,0,0,0
G00186,116.75113493106218,38.96764709152783,54619,0,9,0,0,1
G00187,116.75113493106217,38.97463115922626,54619,1,16,0,2,1
G00188,116.75113493106217,38.981614538228925,54619,1,18,0,3,2
G00189,116.75113493106218,38.98859722850001,54619,0,7,0,1,1
G00190,116.75113493106218,38.99557923000373,54619,0,0,0,0,0
G00191,116.75113493106218,39.00256054270436,54619,0,0,0,0,0
G00192,116.75113493106217,39.00954116656621,54619,0,0,0,0,0
G00193,116.75113493106218,39.016521101553636,54619,0,0,0,0,0
G00194,116.75113493106217,39.02350034763104,54619,0,0,0,0,0
G00195,116.7511349310622,39.03047890476289,54619,0,0,0,0,0
G00196,116.75113493106218,39.03745677291366,54619,0,0,0,0,0
